# api_shortname, googleapis-folder, distribution_name:version, googleapis_committish
accessapproval, google/cloud/accessapproval, com.google.cloud:google-cloud-accessapproval:2.8.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
accesscontextmanager, google/identity/accesscontextmanager, com.google.cloud:google-identity-accesscontextmanager:1.8.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
aiplatform, google/cloud/aiplatform, com.google.cloud:google-cloud-aiplatform:3.8.0, 9df383800509d1fb24fe961123011bb7cc8de450
apigateway, google/cloud/apigateway, com.google.cloud:google-cloud-api-gateway:2.7.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
apigeeconnect, google/cloud/apigeeconnect, com.google.cloud:google-cloud-apigee-connect:2.7.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
appengine, google/appengine, com.google.cloud:google-cloud-appengine-admin:2.7.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
artifactregistry, google/devtools/artifactregistry, com.google.cloud:google-cloud-artifact-registry:1.6.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
cloudasset, google/cloud/asset, com.google.cloud:google-cloud-asset:3.11.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
assuredworkloads, google/cloud/assuredworkloads, com.google.cloud:google-cloud-assured-workloads:2.7.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
automl, google/cloud/automl, com.google.cloud:google-cloud-automl:2.7.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
bigqueryconnection, google/cloud/bigquery/connection, com.google.cloud:google-cloud-bigqueryconnection:2.9.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
bigquerydatatransfer, google/cloud/bigquery/datatransfer, com.google.cloud:google-cloud-bigquerydatatransfer:2.7.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
bigqueryreservation, google/cloud/bigquery/reservation, com.google.cloud:google-cloud-bigqueryreservation:2.8.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
cloudbilling, google/cloud/billing, com.google.cloud:google-cloud-billing:2.7.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
billingbudgets, google/cloud/billing/budgets, com.google.cloud:google-cloud-billingbudgets:2.7.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
binaryauthorization, google/cloud/binaryauthorization, com.google.cloud:google-cloud-binary-authorization:1.6.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
cloudchannel, google/cloud/channel, com.google.cloud:google-cloud-channel:3.11.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
cloudbuild, google/devtools/cloudbuild, com.google.cloud:google-cloud-build:3.9.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
contactcenterinsights, google/cloud/contactcenterinsights, com.google.cloud:google-cloud-contact-center-insights:2.7.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
container, google/container, com.google.cloud:google-cloud-container:2.10.0, 39bcdf411c9c099412ddf6b4247f50352d83e5ad
containeranalysis, google/devtools/containeranalysis, com.google.cloud:google-cloud-containeranalysis:2.8.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
datacatalog, google/cloud/datacatalog, com.google.cloud:google-cloud-datacatalog:1.13.0, 807125e7953e32535710924fe4bf0362ac93754d
datafusion, google/cloud/datafusion, com.google.cloud:google-cloud-data-fusion:1.7.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
dataplex, google/cloud/dataplex, com.google.cloud:google-cloud-dataplex:1.5.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
dataproc, google/cloud/dataproc, com.google.cloud:google-cloud-dataproc:4.4.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
metastore, google/cloud/metastore, com.google.cloud:google-cloud-dataproc-metastore:2.8.0, fcf8211658ed10d5c0744bd63e3e22fd55318244
datastream, google/cloud/datastream, com.google.cloud:google-cloud-datastream:1.6.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
clouddebugger, google/devtools/clouddebugger, com.google.cloud:google-cloud-debugger-client:1.7.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
clouddeploy, google/cloud/deploy, com.google.cloud:google-cloud-deploy:1.5.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
dialogflow, google/cloud/dialogflow, com.google.cloud:google-cloud-dialogflow:4.13.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
dlp, google/privacy/dlp, com.google.cloud:google-cloud-dlp:3.11.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
datamigration, google/cloud/clouddms, com.google.cloud:google-cloud-dms:2.6.0, 1b222777baa702e7135610355706570ed2b56318
documentai, google/cloud/documentai, com.google.cloud:google-cloud-document-ai:2.11.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
domains, google/cloud/domains, com.google.cloud:google-cloud-domains:1.4.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
essentialcontacts, google/cloud/essentialcontacts, com.google.cloud:google-cloud-essential-contacts:2.7.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
eventarc, google/cloud/eventarc, com.google.cloud:google-cloud-eventarc:1.7.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
file, google/cloud/filestore, com.google.cloud:google-cloud-filestore:1.8.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
cloudfunctions, google/cloud/functions, com.google.cloud:google-cloud-functions:2.9.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
gameservices, google/cloud/gaming, com.google.cloud:google-cloud-game-servers:2.7.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
gkehub, google/cloud/gkehub, com.google.cloud:google-cloud-gkehub:1.7.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
gsuiteaddons, google/cloud/gsuiteaddons, com.google.cloud:google-cloud-gsuite-addons:2.7.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
iam-admin, google/iam/admin, com.google.cloud:google-iam-admin:3.2.0, a0a740c6e20e30ba8ff9da40615a22a0866752e3
iamcredentials, google/iam/credentials, com.google.cloud:google-cloud-iamcredentials:2.7.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
ids, google/cloud/ids, com.google.cloud:google-cloud-ids:1.6.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
cloudiot, google/cloud/iot, com.google.cloud:google-cloud-iot:2.7.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
cloudkms, google/cloud/kms, com.google.cloud:google-cloud-kms:2.10.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
language, google/cloud/language, com.google.cloud:google-cloud-language:2.8.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
