# api_shortname, googleapis-folder, distribution_name:version, googleapis_committish, monorepo_folder
accessapproval, google/cloud/accessapproval/v1, com.google.cloud:google-cloud-accessapproval, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55, java-accessapproval
accesscontextmanager, google/identity/accesscontextmanager/v1, com.google.cloud:google-identity-accesscontextmanager, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55, java-accesscontextmanager
aiplatform, google/cloud/aiplatform/v1, com.google.cloud:google-cloud-aiplatform, e8675f08804245f1c62ce9488d7b99b5d28dc31d, java-aiplatform
apigateway, google/cloud/apigateway/v1, com.google.cloud:google-cloud-api-gateway, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-api-gateway
apigeeconnect, google/cloud/apigeeconnect/v1, com.google.cloud:google-cloud-apigee-connect, c252ad5a80d95515825a2e167c3dec20bcca48af, java-apigee-connect
appengine, google/appengine/v1, com.google.cloud:google-cloud-appengine-admin, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-appengine-admin
artifactregistry, google/devtools/artifactregistry/v1, com.google.cloud:google-cloud-artifact-registry, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-artifact-registry
cloudasset, google/cloud/asset/v1, com.google.cloud:google-cloud-asset, c79059008c6d2e66d4cc65a1a7d8bee7160e3f83, java-asset
assuredworkloads, google/cloud/assuredworkloads/v1, com.google.cloud:google-cloud-assured-workloads, c252ad5a80d95515825a2e167c3dec20bcca48af, java-assured-workloads
automl, google/cloud/automl/v1, com.google.cloud:google-cloud-automl, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-automl
bigqueryconnection, google/cloud/bigquery/connection/v1, com.google.cloud:google-cloud-bigqueryconnection, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55, java-bigqueryconnection
bigquerydatatransfer, google/cloud/bigquery/datatransfer/v1, com.google.cloud:google-cloud-bigquerydatatransfer, 62c5867e6adcd7910203ae6adc10f2b1533c29e6, java-bigquerydatatransfer
bigqueryreservation, google/cloud/bigquery/reservation/v1, com.google.cloud:google-cloud-bigqueryreservation, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55, java-bigqueryreservation
cloudbilling, google/cloud/billing/v1, com.google.cloud:google-cloud-billing, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-billing
billingbudgets, google/cloud/billing/budgets/v1, com.google.cloud:google-cloud-billingbudgets, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-billingbudgets
binaryauthorization, google/cloud/binaryauthorization/v1, com.google.cloud:google-cloud-binary-authorization, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-binary-authorization
cloudchannel, google/cloud/channel/v1, com.google.cloud:google-cloud-channel, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-channel
cloudbuild, google/devtools/cloudbuild/v1, com.google.cloud:google-cloud-build, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-cloudbuild
contactcenterinsights, google/cloud/contactcenterinsights/v1, com.google.cloud:google-cloud-contact-center-insights, 59a66eb3180ea8474c0a22da3fe964dbe7428c77, java-contact-center-insights
container, google/container/v1, com.google.cloud:google-cloud-container, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-container
containeranalysis, google/devtools/containeranalysis/v1, com.google.cloud:google-cloud-containeranalysis, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-containeranalysis
datacatalog, google/cloud/datacatalog/v1, com.google.cloud:google-cloud-datacatalog, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-datacatalog
datafusion, google/cloud/datafusion/v1, com.google.cloud:google-cloud-data-fusion, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-data-fusion
dataplex, google/cloud/dataplex/v1, com.google.cloud:google-cloud-dataplex, 8a767c99641780a988e01775b3aa946d166f4724, java-dataplex
dataproc, google/cloud/dataproc/v1, com.google.cloud:google-cloud-dataproc, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-dataproc
metastore, google/cloud/metastore/v1, com.google.cloud:google-cloud-dataproc-metastore, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-dataproc-metastore
datastream, google/cloud/datastream/v1, com.google.cloud:google-cloud-datastream, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-datastream
clouddebugger, google/devtools/clouddebugger/v2, com.google.cloud:google-cloud-debugger-client, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-debugger-client
clouddeploy, google/cloud/deploy/v1, com.google.cloud:google-cloud-deploy, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-deploy
dialogflow, google/cloud/dialogflow/v2, com.google.cloud:google-cloud-dialogflow, c252ad5a80d95515825a2e167c3dec20bcca48af, java-dialogflow
dlp, google/privacy/dlp/v2, com.google.cloud:google-cloud-dlp, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-dlp
datamigration, google/cloud/clouddms/v1, com.google.cloud:google-cloud-dms, 1b222777baa702e7135610355706570ed2b56318, java-dms
documentai, google/cloud/documentai/v1, com.google.cloud:google-cloud-document-ai, c79059008c6d2e66d4cc65a1a7d8bee7160e3f83, java-document-ai
domains, google/cloud/domains/v1, com.google.cloud:google-cloud-domains, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-domains
essentialcontacts, google/cloud/essentialcontacts/v1, com.google.cloud:google-cloud-essential-contacts, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55, java-essential-contacts
eventarc, google/cloud/eventarc/v1, com.google.cloud:google-cloud-eventarc, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-eventarc
file, google/cloud/filestore/v1, com.google.cloud:google-cloud-filestore, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55, java-filestore
cloudfunctions, google/cloud/functions/v2, com.google.cloud:google-cloud-functions, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-functions
gameservices, google/cloud/gaming/v1, com.google.cloud:google-cloud-game-servers, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-game-servers
gkehub, google/cloud/gkehub/v1, com.google.cloud:google-cloud-gkehub, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-gkehub
gsuiteaddons, google/cloud/gsuiteaddons/v1, com.google.cloud:google-cloud-gsuite-addons, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-gsuite-addons
iam-admin, google/iam/admin/v1, com.google.cloud:google-iam-admin, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-iam-admin
iamcredentials, google/iam/credentials/v1, com.google.cloud:google-cloud-iamcredentials, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55, java-iamcredentials
ids, google/cloud/ids/v1, com.google.cloud:google-cloud-ids, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-ids
cloudiot, google/cloud/iot/v1, com.google.cloud:google-cloud-iot, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55, java-iot
language, google/cloud/language/v1, com.google.cloud:google-cloud-language, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-language
managedidentities, google/cloud/managedidentities/v1, com.google.cloud:google-cloud-managed-identities, 1b222777baa702e7135610355706570ed2b56318, java-managed-identities
memcache, google/cloud/memcache/v1, com.google.cloud:google-cloud-memcache, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-memcache
monitoring-dashboards, google/monitoring/dashboard/v1, com.google.cloud:google-cloud-monitoring-dashboard, 807125e7953e32535710924fe4bf0362ac93754d, java-monitoring-dashboards
networkconnectivity, google/cloud/networkconnectivity/v1, com.google.cloud:google-cloud-networkconnectivity, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-networkconnectivity
networkmanagement, google/cloud/networkmanagement/v1, com.google.cloud:google-cloud-network-management, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55, java-network-management
notebooks, google/cloud/notebooks/v1, com.google.cloud:google-cloud-notebooks, 870a5ed7e141b4faf70e2a0858854e9b5bb18612, java-notebooks
cloudoptimization, google/cloud/optimization/v1, com.google.cloud:google-cloud-optimization, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-optimization
orchestration-airflow, google/cloud/orchestration/airflow/service/v1, com.google.cloud:google-cloud-orchestration-airflow, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-orchestration-airflow
orgpolicy, google/cloud/orgpolicy/v2, com.google.cloud:google-cloud-orgpolicy, c79059008c6d2e66d4cc65a1a7d8bee7160e3f83, java-orgpolicy
osconfig, google/cloud/osconfig/v1, com.google.cloud:google-cloud-os-config, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-os-config
oslogin, google/cloud/oslogin/v1, com.google.cloud:google-cloud-os-login, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55, java-os-login
policytroubleshooter, google/cloud/policytroubleshooter/v1, com.google.cloud:google-cloud-policy-troubleshooter, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-policy-troubleshooter
cloudprofiler, google/devtools/cloudprofiler/v2, com.google.cloud:google-cloud-profiler, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-profiler
recaptchaenterprise, google/cloud/recaptchaenterprise/v1, com.google.cloud:google-cloud-recaptchaenterprise, c9560d8f8f535936baff1fcda1f12806e38f67b9, java-recaptchaenterprise
recommender, google/cloud/recommender/v1, com.google.cloud:google-cloud-recommender, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-recommender
redis, google/cloud/redis/v1, com.google.cloud:google-cloud-redis, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-redis
resourcesettings, google/cloud/resourcesettings/v1, com.google.cloud:google-cloud-resource-settings, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55, java-resource-settings
retail, google/cloud/retail/v2, com.google.cloud:google-cloud-retail, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-retail
cloudscheduler, google/cloud/scheduler/v1, com.google.cloud:google-cloud-scheduler, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-scheduler
securitycenter, google/cloud/securitycenter/v1, com.google.cloud:google-cloud-securitycenter, c79059008c6d2e66d4cc65a1a7d8bee7160e3f83, java-securitycenter
privateca, google/cloud/security/privateca/v1, com.google.cloud:google-cloud-security-private-ca, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55, java-security-private-ca
servicecontrol, google/api/servicecontrol/v2, com.google.cloud:google-cloud-service-control, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-service-control
servicedirectory, google/cloud/servicedirectory/v1, com.google.cloud:google-cloud-servicedirectory, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-servicedirectory
servicemanagement, google/api/servicemanagement/v1, com.google.cloud:google-cloud-service-management, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-service-management
serviceusage, google/api/serviceusage/v1, com.google.cloud:google-cloud-service-usage, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-service-usage
cloudshell, google/cloud/shell/v1, com.google.cloud:google-cloud-shell, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-shell
speech, google/cloud/speech/v2, com.google.cloud:google-cloud-speech, c252ad5a80d95515825a2e167c3dec20bcca48af, java-speech
storagetransfer, google/storagetransfer/v1, com.google.cloud:google-cloud-storage-transfer, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55, java-storage-transfer
jobs, google/cloud/talent/v4, com.google.cloud:google-cloud-talent, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-talent
cloudtasks, google/cloud/tasks/v2, com.google.cloud:google-cloud-tasks, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-tasks
texttospeech, google/cloud/texttospeech/v1, com.google.cloud:google-cloud-texttospeech, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-texttospeech
tpu, google/cloud/tpu/v2, com.google.cloud:google-cloud-tpu, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-tpu
cloudtrace, google/devtools/cloudtrace/v2, com.google.cloud:google-cloud-trace, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-trace
videointelligence, google/cloud/videointelligence/v1, com.google.cloud:google-cloud-video-intelligence, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55, java-video-intelligence
transcoder, google/cloud/video/transcoder/v1, com.google.cloud:google-cloud-video-transcoder, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-video-transcoder
