# api_shortname, googleapis-folder, distribution_name:version, googleapis_committish, monorepo_folder
accessapproval, google/cloud/accessapproval/v1, com.google.cloud:google-cloud-accessapproval, b5b457107dc6a34527f9304e44363611313674d0, java-accessapproval
accesscontextmanager, google/identity/accesscontextmanager/v1, com.google.cloud:google-identity-accesscontextmanager, 42ba7e6302f5e0f10ac2b9b17f5b6d568ecae02d, java-accesscontextmanager
aiplatform, google/cloud/aiplatform/v1, com.google.cloud:google-cloud-aiplatform, c14398a3882b439174f320727ecca95a574fa95b, java-aiplatform
apigateway, google/cloud/apigateway/v1, com.google.cloud:google-cloud-api-gateway, 42ba7e6302f5e0f10ac2b9b17f5b6d568ecae02d, java-api-gateway
apigeeconnect, google/cloud/apigeeconnect/v1, com.google.cloud:google-cloud-apigee-connect, b5b457107dc6a34527f9304e44363611313674d0, java-apigee-connect
appengine, google/appengine/v1, com.google.cloud:google-cloud-appengine-admin, 42ba7e6302f5e0f10ac2b9b17f5b6d568ecae02d, java-appengine-admin
artifactregistry, google/devtools/artifactregistry/v1, com.google.cloud:google-cloud-artifact-registry, 42ba7e6302f5e0f10ac2b9b17f5b6d568ecae02d, java-artifact-registry
cloudasset, google/cloud/asset/v1, com.google.cloud:google-cloud-asset, fb446a2f9b93ddc39f4417d65e0334e71908811d, java-asset
assuredworkloads, google/cloud/assuredworkloads/v1, com.google.cloud:google-cloud-assured-workloads, 42ba7e6302f5e0f10ac2b9b17f5b6d568ecae02d, java-assured-workloads
automl, google/cloud/automl/v1, com.google.cloud:google-cloud-automl, 42ba7e6302f5e0f10ac2b9b17f5b6d568ecae02d, java-automl
bigqueryconnection, google/cloud/bigquery/connection/v1, com.google.cloud:google-cloud-bigqueryconnection, b5b457107dc6a34527f9304e44363611313674d0, java-bigqueryconnection
bigquerydatatransfer, google/cloud/bigquery/datatransfer/v1, com.google.cloud:google-cloud-bigquerydatatransfer, 62c5867e6adcd7910203ae6adc10f2b1533c29e6, java-bigquerydatatransfer
bigqueryreservation, google/cloud/bigquery/reservation/v1, com.google.cloud:google-cloud-bigqueryreservation, e4a7ae691c2b3f5448e1d7ab9831aca3e1e6d0ec, java-bigqueryreservation
cloudbilling, google/cloud/billing/v1, com.google.cloud:google-cloud-billing, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-billing
billingbudgets, google/cloud/billing/budgets/v1, com.google.cloud:google-cloud-billingbudgets, b5b457107dc6a34527f9304e44363611313674d0, java-billingbudgets
binaryauthorization, google/cloud/binaryauthorization/v1, com.google.cloud:google-cloud-binary-authorization, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-binary-authorization
cloudchannel, google/cloud/channel/v1, com.google.cloud:google-cloud-channel, 42ba7e6302f5e0f10ac2b9b17f5b6d568ecae02d, java-channel
cloudbuild, google/devtools/cloudbuild/v2, com.google.cloud:google-cloud-build, 42ba7e6302f5e0f10ac2b9b17f5b6d568ecae02d, java-cloudbuild
contactcenterinsights, google/cloud/contactcenterinsights/v1, com.google.cloud:google-cloud-contact-center-insights, dabc23526a9eb8e24388035a80d388c067da69c3, java-contact-center-insights
container, google/container/v1, com.google.cloud:google-cloud-container, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-container
containeranalysis, google/devtools/containeranalysis/v1, com.google.cloud:google-cloud-containeranalysis, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-containeranalysis
datafusion, google/cloud/datafusion/v1, com.google.cloud:google-cloud-data-fusion, 42ba7e6302f5e0f10ac2b9b17f5b6d568ecae02d, java-data-fusion
datacatalog, google/cloud/datacatalog/v1, com.google.cloud:google-cloud-datacatalog, 42ba7e6302f5e0f10ac2b9b17f5b6d568ecae02d, java-datacatalog
dataplex, google/cloud/dataplex/v1, com.google.cloud:google-cloud-dataplex, 42ba7e6302f5e0f10ac2b9b17f5b6d568ecae02d, java-dataplex
metastore, google/cloud/metastore/v1, com.google.cloud:google-cloud-dataproc-metastore, 63d1a0e8129e36cda6efe701181bb032a28e3c75, java-dataproc-metastore
dataproc, google/cloud/dataproc/v1, com.google.cloud:google-cloud-dataproc, 42ba7e6302f5e0f10ac2b9b17f5b6d568ecae02d, java-dataproc
datastream, google/cloud/datastream/v1, com.google.cloud:google-cloud-datastream, 42ba7e6302f5e0f10ac2b9b17f5b6d568ecae02d, java-datastream
clouddebugger, google/devtools/clouddebugger/v2, com.google.cloud:google-cloud-debugger-client, b5b457107dc6a34527f9304e44363611313674d0, java-debugger-client
clouddeploy, google/cloud/deploy/v1, com.google.cloud:google-cloud-deploy, fb3b26c94035af1513bbbd37dd6e480a6a5fd243, java-deploy
dialogflow, google/cloud/dialogflow/v2, com.google.cloud:google-cloud-dialogflow, 42ba7e6302f5e0f10ac2b9b17f5b6d568ecae02d, java-dialogflow
dlp, google/privacy/dlp/v2, com.google.cloud:google-cloud-dlp, b5b457107dc6a34527f9304e44363611313674d0, java-dlp
datamigration, google/cloud/clouddms/v1, com.google.cloud:google-cloud-dms, b5b457107dc6a34527f9304e44363611313674d0, java-dms
documentai, google/cloud/documentai/v1, com.google.cloud:google-cloud-document-ai, 42ba7e6302f5e0f10ac2b9b17f5b6d568ecae02d, java-document-ai
domains, google/cloud/domains/v1, com.google.cloud:google-cloud-domains, 42ba7e6302f5e0f10ac2b9b17f5b6d568ecae02d, java-domains
essentialcontacts, google/cloud/essentialcontacts/v1, com.google.cloud:google-cloud-essential-contacts, b5b457107dc6a34527f9304e44363611313674d0, java-essential-contacts
eventarc, google/cloud/eventarc/v1, com.google.cloud:google-cloud-eventarc, 42ba7e6302f5e0f10ac2b9b17f5b6d568ecae02d, java-eventarc
file, google/cloud/filestore/v1, com.google.cloud:google-cloud-filestore, 4257751f7992065886012047ed69ca78b87af2ca, java-filestore
cloudfunctions, google/cloud/functions/v2, com.google.cloud:google-cloud-functions, 650f7cd5b652b902b8189a657736dc56655ecf61, java-functions
gameservices, google/cloud/gaming/v1, com.google.cloud:google-cloud-game-servers, 42ba7e6302f5e0f10ac2b9b17f5b6d568ecae02d, java-game-servers
gkehub, google/cloud/gkehub/v1, com.google.cloud:google-cloud-gkehub, 1b897f4b9c67b17a044e107898b0a376ffcb7572, java-gkehub
gsuiteaddons, google/cloud/gsuiteaddons/v1, com.google.cloud:google-cloud-gsuite-addons, b5b457107dc6a34527f9304e44363611313674d0, java-gsuite-addons
iam-admin, google/iam/admin/v1, com.google.cloud:google-iam-admin, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-iam-admin
iamcredentials, google/iam/credentials/v1, com.google.cloud:google-cloud-iamcredentials, b5b457107dc6a34527f9304e44363611313674d0, java-iamcredentials
ids, google/cloud/ids/v1, com.google.cloud:google-cloud-ids, 42ba7e6302f5e0f10ac2b9b17f5b6d568ecae02d, java-ids
cloudiot, google/cloud/iot/v1, com.google.cloud:google-cloud-iot, b5b457107dc6a34527f9304e44363611313674d0, java-iot
language, google/cloud/language/v1, com.google.cloud:google-cloud-language, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-language
managedidentities, google/cloud/managedidentities/v1, com.google.cloud:google-cloud-managed-identities, b5b457107dc6a34527f9304e44363611313674d0, java-managed-identities
memcache, google/cloud/memcache/v1, com.google.cloud:google-cloud-memcache, 42ba7e6302f5e0f10ac2b9b17f5b6d568ecae02d, java-memcache
monitoring-dashboards, google/monitoring/dashboard/v1, com.google.cloud:google-cloud-monitoring-dashboard, 807125e7953e32535710924fe4bf0362ac93754d, java-monitoring-dashboards
networkmanagement, google/cloud/networkmanagement/v1, com.google.cloud:google-cloud-network-management, 42ba7e6302f5e0f10ac2b9b17f5b6d568ecae02d, java-network-management
networkconnectivity, google/cloud/networkconnectivity/v1, com.google.cloud:google-cloud-networkconnectivity, f6427904e82d032dc58ead51662108ff824b75ca, java-networkconnectivity
notebooks, google/cloud/notebooks/v1, com.google.cloud:google-cloud-notebooks, 870a5ed7e141b4faf70e2a0858854e9b5bb18612, java-notebooks
cloudoptimization, google/cloud/optimization/v1, com.google.cloud:google-cloud-optimization, 42ba7e6302f5e0f10ac2b9b17f5b6d568ecae02d, java-optimization
orchestration-airflow, google/cloud/orchestration/airflow/service/v1, com.google.cloud:google-cloud-orchestration-airflow, 42ba7e6302f5e0f10ac2b9b17f5b6d568ecae02d, java-orchestration-airflow
orgpolicy, google/cloud/orgpolicy/v2, com.google.cloud:google-cloud-orgpolicy, c79059008c6d2e66d4cc65a1a7d8bee7160e3f83, java-orgpolicy
osconfig, google/cloud/osconfig/v1, com.google.cloud:google-cloud-os-config, 42ba7e6302f5e0f10ac2b9b17f5b6d568ecae02d, java-os-config
oslogin, google/cloud/oslogin/v1, com.google.cloud:google-cloud-os-login, b5b457107dc6a34527f9304e44363611313674d0, java-os-login
policytroubleshooter, google/cloud/policytroubleshooter/v1, com.google.cloud:google-cloud-policy-troubleshooter, b5b457107dc6a34527f9304e44363611313674d0, java-policy-troubleshooter
cloudprofiler, google/devtools/cloudprofiler/v2, com.google.cloud:google-cloud-profiler, ebb5b6c93d6233b1115a1ed25ea7ccc3fa54b045, java-profiler
recaptchaenterprise, google/cloud/recaptchaenterprise/v1, com.google.cloud:google-cloud-recaptchaenterprise, f3c3f3868ae923b6e194185909adf14a56d9754e, java-recaptchaenterprise
recommender, google/cloud/recommender/v1, com.google.cloud:google-cloud-recommender, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-recommender
redis, google/cloud/redis/v1, com.google.cloud:google-cloud-redis, 42ba7e6302f5e0f10ac2b9b17f5b6d568ecae02d, java-redis
resourcesettings, google/cloud/resourcesettings/v1, com.google.cloud:google-cloud-resource-settings, b5b457107dc6a34527f9304e44363611313674d0, java-resource-settings
retail, google/cloud/retail/v2, com.google.cloud:google-cloud-retail, 81b0808ca4f2926850519170d272318d54509a08, java-retail
